bedrock_item_identifier,bedrock_item_damage,java_item_identifier
minecraft:air,0,minecraft:air
minecraft:stone,0,minecraft:stone
minecraft:stone,1,minecraft:granite
minecraft:stone,2,minecraft:polished_granite
minecraft:stone,3,minecraft:diorite
minecraft:stone,4,minecraft:polished_diorite
minecraft:stone,5,minecraft:andesite
minecraft:stone,6,minecraft:polished_andesite
minecraft:deepslate,0,minecraft:deepslate
minecraft:cobbled_deepslate,0,minecraft:cobbled_deepslate
minecraft:polished_deepslate,0,minecraft:polished_deepslate
minecraft:calcite,0,minecraft:calcite
minecraft:tuff,0,minecraft:tuff
minecraft:dripstone_block,0,minecraft:dripstone_block
minecraft:grass,0,minecraft:grass_block
minecraft:dirt,0,minecraft:dirt
minecraft:dirt,1,minecraft:coarse_dirt
minecraft:podzol,0,minecraft:podzol
minecraft:dirt_with_roots,0,minecraft:rooted_dirt
minecraft:mud,0,minecraft:mud
minecraft:crimson_nylium,0,minecraft:crimson_nylium
minecraft:warped_nylium,0,minecraft:warped_nylium
minecraft:cobblestone,0,minecraft:cobblestone
minecraft:planks,0,minecraft:oak_planks
minecraft:planks,1,minecraft:spruce_planks
minecraft:planks,2,minecraft:birch_planks
minecraft:planks,3,minecraft:jungle_planks
minecraft:planks,4,minecraft:acacia_planks
minecraft:planks,5,minecraft:dark_oak_planks
minecraft:mangrove_planks,0,minecraft:mangrove_planks
minecraft:planks,0,minecraft:bamboo_planks
minecraft:crimson_planks,0,minecraft:crimson_planks
minecraft:warped_planks,0,minecraft:warped_planks
minecraft:planks,0,minecraft:bamboo_mosaic
minecraft:sapling,0,minecraft:oak_sapling
minecraft:sapling,1,minecraft:spruce_sapling
minecraft:sapling,2,minecraft:birch_sapling
minecraft:sapling,3,minecraft:jungle_sapling
minecraft:sapling,4,minecraft:acacia_sapling
minecraft:sapling,5,minecraft:dark_oak_sapling
minecraft:mangrove_propagule,0,minecraft:mangrove_propagule
minecraft:bedrock,0,minecraft:bedrock
minecraft:sand,0,minecraft:sand
minecraft:sand,1,minecraft:red_sand
minecraft:gravel,0,minecraft:gravel
minecraft:coal_ore,0,minecraft:coal_ore
minecraft:deepslate_coal_ore,0,minecraft:deepslate_coal_ore
minecraft:iron_ore,0,minecraft:iron_ore
minecraft:deepslate_iron_ore,0,minecraft:deepslate_iron_ore
minecraft:copper_ore,0,minecraft:copper_ore
minecraft:deepslate_copper_ore,0,minecraft:deepslate_copper_ore
minecraft:gold_ore,0,minecraft:gold_ore
minecraft:deepslate_gold_ore,0,minecraft:deepslate_gold_ore
minecraft:redstone_ore,0,minecraft:redstone_ore
minecraft:deepslate_redstone_ore,0,minecraft:deepslate_redstone_ore
minecraft:emerald_ore,0,minecraft:emerald_ore
minecraft:deepslate_emerald_ore,0,minecraft:deepslate_emerald_ore
minecraft:lapis_ore,0,minecraft:lapis_ore
minecraft:deepslate_lapis_ore,0,minecraft:deepslate_lapis_ore
minecraft:diamond_ore,0,minecraft:diamond_ore
minecraft:deepslate_diamond_ore,0,minecraft:deepslate_diamond_ore
minecraft:nether_gold_ore,0,minecraft:nether_gold_ore
minecraft:quartz_ore,0,minecraft:nether_quartz_ore
minecraft:ancient_debris,0,minecraft:ancient_debris
minecraft:coal_block,0,minecraft:coal_block
minecraft:raw_iron_block,0,minecraft:raw_iron_block
minecraft:raw_copper_block,0,minecraft:raw_copper_block
minecraft:raw_gold_block,0,minecraft:raw_gold_block
minecraft:amethyst_block,0,minecraft:amethyst_block
minecraft:budding_amethyst,0,minecraft:budding_amethyst
minecraft:iron_block,0,minecraft:iron_block
minecraft:copper_block,0,minecraft:copper_block
minecraft:gold_block,0,minecraft:gold_block
minecraft:diamond_block,0,minecraft:diamond_block
minecraft:netherite_block,0,minecraft:netherite_block
minecraft:exposed_copper,0,minecraft:exposed_copper
minecraft:weathered_copper,0,minecraft:weathered_copper
minecraft:oxidized_copper,0,minecraft:oxidized_copper
minecraft:cut_copper,0,minecraft:cut_copper
minecraft:exposed_cut_copper,0,minecraft:exposed_cut_copper
minecraft:weathered_cut_copper,0,minecraft:weathered_cut_copper
minecraft:oxidized_cut_copper,0,minecraft:oxidized_cut_copper
minecraft:cut_copper_stairs,0,minecraft:cut_copper_stairs
minecraft:exposed_cut_copper_stairs,0,minecraft:exposed_cut_copper_stairs
minecraft:weathered_cut_copper_stairs,0,minecraft:weathered_cut_copper_stairs
minecraft:oxidized_cut_copper_stairs,0,minecraft:oxidized_cut_copper_stairs
minecraft:cut_copper_slab,0,minecraft:cut_copper_slab
minecraft:exposed_cut_copper_slab,0,minecraft:exposed_cut_copper_slab
minecraft:weathered_cut_copper_slab,0,minecraft:weathered_cut_copper_slab
minecraft:oxidized_cut_copper_slab,0,minecraft:oxidized_cut_copper_slab
minecraft:waxed_copper,0,minecraft:waxed_copper_block
minecraft:waxed_exposed_copper,0,minecraft:waxed_exposed_copper
minecraft:waxed_weathered_copper,0,minecraft:waxed_weathered_copper
minecraft:waxed_oxidized_copper,0,minecraft:waxed_oxidized_copper
minecraft:waxed_cut_copper,0,minecraft:waxed_cut_copper
minecraft:waxed_exposed_cut_copper,0,minecraft:waxed_exposed_cut_copper
minecraft:waxed_weathered_cut_copper,0,minecraft:waxed_weathered_cut_copper
minecraft:waxed_oxidized_cut_copper,0,minecraft:waxed_oxidized_cut_copper
minecraft:waxed_cut_copper_stairs,0,minecraft:waxed_cut_copper_stairs
minecraft:waxed_exposed_cut_copper_stairs,0,minecraft:waxed_exposed_cut_copper_stairs
minecraft:waxed_weathered_cut_copper_stairs,0,minecraft:waxed_weathered_cut_copper_stairs
minecraft:waxed_oxidized_cut_copper_stairs,0,minecraft:waxed_oxidized_cut_copper_stairs
minecraft:waxed_cut_copper_slab,0,minecraft:waxed_cut_copper_slab
minecraft:waxed_exposed_cut_copper_slab,0,minecraft:waxed_exposed_cut_copper_slab
minecraft:waxed_weathered_cut_copper_slab,0,minecraft:waxed_weathered_cut_copper_slab
minecraft:waxed_oxidized_cut_copper_slab,0,minecraft:waxed_oxidized_cut_copper_slab
minecraft:log,0,minecraft:oak_log
minecraft:log,1,minecraft:spruce_log
minecraft:log,2,minecraft:birch_log
minecraft:log,3,minecraft:jungle_log
minecraft:log2,0,minecraft:acacia_log
minecraft:log2,1,minecraft:dark_oak_log
minecraft:mangrove_log,0,minecraft:mangrove_log
minecraft:mangrove_roots,0,minecraft:mangrove_roots
minecraft:muddy_mangrove_roots,0,minecraft:muddy_mangrove_roots
minecraft:crimson_stem,0,minecraft:crimson_stem
minecraft:warped_stem,0,minecraft:warped_stem
minecraft:log,0,minecraft:bamboo_block
minecraft:stripped_oak_log,0,minecraft:stripped_oak_log
minecraft:stripped_spruce_log,0,minecraft:stripped_spruce_log
minecraft:stripped_birch_log,0,minecraft:stripped_birch_log
minecraft:stripped_jungle_log,0,minecraft:stripped_jungle_log
minecraft:stripped_acacia_log,0,minecraft:stripped_acacia_log
minecraft:stripped_dark_oak_log,0,minecraft:stripped_dark_oak_log
minecraft:stripped_mangrove_log,0,minecraft:stripped_mangrove_log
minecraft:stripped_crimson_stem,0,minecraft:stripped_crimson_stem
minecraft:stripped_warped_stem,0,minecraft:stripped_warped_stem
minecraft:wood,8,minecraft:stripped_oak_wood
minecraft:wood,9,minecraft:stripped_spruce_wood
minecraft:wood,10,minecraft:stripped_birch_wood
minecraft:wood,11,minecraft:stripped_jungle_wood
minecraft:wood,12,minecraft:stripped_acacia_wood
minecraft:wood,13,minecraft:stripped_dark_oak_wood
minecraft:stripped_mangrove_wood,0,minecraft:stripped_mangrove_wood
minecraft:stripped_crimson_hyphae,0,minecraft:stripped_crimson_hyphae
minecraft:stripped_warped_hyphae,0,minecraft:stripped_warped_hyphae
minecraft:planks,0,minecraft:stripped_bamboo_block
minecraft:wood,0,minecraft:oak_wood
minecraft:wood,1,minecraft:spruce_wood
minecraft:wood,2,minecraft:birch_wood
minecraft:wood,3,minecraft:jungle_wood
minecraft:wood,4,minecraft:acacia_wood
minecraft:wood,5,minecraft:dark_oak_wood
minecraft:mangrove_wood,0,minecraft:mangrove_wood
minecraft:crimson_hyphae,0,minecraft:crimson_hyphae
minecraft:warped_hyphae,0,minecraft:warped_hyphae
minecraft:leaves,0,minecraft:oak_leaves
minecraft:leaves,1,minecraft:spruce_leaves
minecraft:leaves,2,minecraft:birch_leaves
minecraft:leaves,3,minecraft:jungle_leaves
minecraft:leaves2,0,minecraft:acacia_leaves
minecraft:leaves2,1,minecraft:dark_oak_leaves
minecraft:mangrove_leaves,0,minecraft:mangrove_leaves
minecraft:azalea_leaves,0,minecraft:azalea_leaves
minecraft:azalea_leaves_flowered,0,minecraft:flowering_azalea_leaves
minecraft:sponge,0,minecraft:sponge
minecraft:sponge,1,minecraft:wet_sponge
minecraft:glass,0,minecraft:glass
minecraft:tinted_glass,0,minecraft:tinted_glass
minecraft:lapis_block,0,minecraft:lapis_block
minecraft:sandstone,0,minecraft:sandstone
minecraft:sandstone,1,minecraft:chiseled_sandstone
minecraft:sandstone,2,minecraft:cut_sandstone
minecraft:web,0,minecraft:cobweb
minecraft:tallgrass,1,minecraft:grass
minecraft:tallgrass,2,minecraft:fern
minecraft:azalea,0,minecraft:azalea
minecraft:flowering_azalea,0,minecraft:flowering_azalea
minecraft:deadbush,0,minecraft:dead_bush
minecraft:seagrass,0,minecraft:seagrass
minecraft:sea_pickle,0,minecraft:sea_pickle
minecraft:wool,0,minecraft:white_wool
minecraft:wool,1,minecraft:orange_wool
minecraft:wool,2,minecraft:magenta_wool
minecraft:wool,3,minecraft:light_blue_wool
minecraft:wool,4,minecraft:yellow_wool
minecraft:wool,5,minecraft:lime_wool
minecraft:wool,6,minecraft:pink_wool
minecraft:wool,7,minecraft:gray_wool
minecraft:wool,8,minecraft:light_gray_wool
minecraft:wool,9,minecraft:cyan_wool
minecraft:wool,10,minecraft:purple_wool
minecraft:wool,11,minecraft:blue_wool
minecraft:wool,12,minecraft:brown_wool
minecraft:wool,13,minecraft:green_wool
minecraft:wool,14,minecraft:red_wool
minecraft:wool,15,minecraft:black_wool
minecraft:yellow_flower,0,minecraft:dandelion
minecraft:red_flower,0,minecraft:poppy
minecraft:red_flower,1,minecraft:blue_orchid
minecraft:red_flower,2,minecraft:allium
minecraft:red_flower,3,minecraft:azure_bluet
minecraft:red_flower,4,minecraft:red_tulip
minecraft:red_flower,5,minecraft:orange_tulip
minecraft:red_flower,6,minecraft:white_tulip
minecraft:red_flower,7,minecraft:pink_tulip
minecraft:red_flower,8,minecraft:oxeye_daisy
minecraft:red_flower,9,minecraft:cornflower
minecraft:red_flower,10,minecraft:lily_of_the_valley
minecraft:wither_rose,0,minecraft:wither_rose
minecraft:spore_blossom,0,minecraft:spore_blossom
minecraft:brown_mushroom,0,minecraft:brown_mushroom
minecraft:red_mushroom,0,minecraft:red_mushroom
minecraft:crimson_fungus,0,minecraft:crimson_fungus
minecraft:warped_fungus,0,minecraft:warped_fungus
minecraft:crimson_roots,0,minecraft:crimson_roots
minecraft:warped_roots,0,minecraft:warped_roots
minecraft:nether_sprouts,0,minecraft:nether_sprouts
minecraft:weeping_vines,0,minecraft:weeping_vines
minecraft:twisting_vines,0,minecraft:twisting_vines
minecraft:sugar_cane,0,minecraft:sugar_cane
minecraft:kelp,0,minecraft:kelp
minecraft:moss_carpet,0,minecraft:moss_carpet
minecraft:moss_block,0,minecraft:moss_block
minecraft:hanging_roots,0,minecraft:hanging_roots
minecraft:big_dripleaf,0,minecraft:big_dripleaf
minecraft:small_dripleaf_block,0,minecraft:small_dripleaf
minecraft:bamboo,0,minecraft:bamboo
minecraft:wooden_slab,0,minecraft:oak_slab
minecraft:wooden_slab,1,minecraft:spruce_slab
minecraft:wooden_slab,2,minecraft:birch_slab
minecraft:wooden_slab,3,minecraft:jungle_slab
minecraft:wooden_slab,4,minecraft:acacia_slab
minecraft:wooden_slab,5,minecraft:dark_oak_slab
minecraft:mangrove_slab,0,minecraft:mangrove_slab
minecraft:wooden_slab,0,minecraft:bamboo_slab
minecraft:wooden_slab,0,minecraft:bamboo_mosaic_slab
minecraft:crimson_slab,0,minecraft:crimson_slab
minecraft:warped_slab,0,minecraft:warped_slab
minecraft:stone_block_slab4,2,minecraft:stone_slab
minecraft:stone_block_slab,0,minecraft:smooth_stone_slab
minecraft:stone_block_slab,1,minecraft:sandstone_slab
minecraft:stone_block_slab4,3,minecraft:cut_sandstone_slab
minecraft:stone_block_slab,2,minecraft:petrified_oak_slab
minecraft:stone_block_slab,3,minecraft:cobblestone_slab
minecraft:stone_block_slab,4,minecraft:brick_slab
minecraft:stone_block_slab,5,minecraft:stone_brick_slab
minecraft:mud_brick_slab,0,minecraft:mud_brick_slab
minecraft:stone_block_slab,7,minecraft:nether_brick_slab
minecraft:stone_block_slab,6,minecraft:quartz_slab
minecraft:stone_block_slab2,0,minecraft:red_sandstone_slab
minecraft:stone_block_slab4,4,minecraft:cut_red_sandstone_slab
minecraft:stone_block_slab2,1,minecraft:purpur_slab
minecraft:stone_block_slab2,2,minecraft:prismarine_slab
minecraft:stone_block_slab2,4,minecraft:prismarine_brick_slab
minecraft:stone_block_slab2,3,minecraft:dark_prismarine_slab
minecraft:quartz_block,3,minecraft:smooth_quartz
minecraft:red_sandstone,3,minecraft:smooth_red_sandstone
minecraft:sandstone,3,minecraft:smooth_sandstone
minecraft:smooth_stone,0,minecraft:smooth_stone
minecraft:brick_block,0,minecraft:bricks
minecraft:bookshelf,0,minecraft:bookshelf
minecraft:bookshelf,0,minecraft:chiseled_bookshelf
minecraft:mossy_cobblestone,0,minecraft:mossy_cobblestone
minecraft:obsidian,0,minecraft:obsidian
minecraft:torch,0,minecraft:torch
minecraft:end_rod,0,minecraft:end_rod
minecraft:chorus_plant,0,minecraft:chorus_plant
minecraft:chorus_flower,0,minecraft:chorus_flower
minecraft:purpur_block,0,minecraft:purpur_block
minecraft:purpur_block,2,minecraft:purpur_pillar
minecraft:purpur_stairs,0,minecraft:purpur_stairs
minecraft:mob_spawner,0,minecraft:spawner
minecraft:chest,0,minecraft:chest
minecraft:crafting_table,0,minecraft:crafting_table
minecraft:farmland,0,minecraft:farmland
minecraft:furnace,0,minecraft:furnace
minecraft:ladder,0,minecraft:ladder
minecraft:stone_stairs,0,minecraft:cobblestone_stairs
minecraft:snow_layer,0,minecraft:snow
minecraft:ice,0,minecraft:ice
minecraft:snow,0,minecraft:snow_block
minecraft:cactus,0,minecraft:cactus
minecraft:clay,0,minecraft:clay
minecraft:jukebox,0,minecraft:jukebox
minecraft:fence,0,minecraft:oak_fence
minecraft:fence,1,minecraft:spruce_fence
minecraft:fence,2,minecraft:birch_fence
minecraft:fence,3,minecraft:jungle_fence
minecraft:fence,4,minecraft:acacia_fence
minecraft:fence,5,minecraft:dark_oak_fence
minecraft:mangrove_fence,0,minecraft:mangrove_fence
minecraft:fence,0,minecraft:bamboo_fence
minecraft:crimson_fence,0,minecraft:crimson_fence
minecraft:warped_fence,0,minecraft:warped_fence
minecraft:pumpkin,0,minecraft:pumpkin
minecraft:carved_pumpkin,0,minecraft:carved_pumpkin
minecraft:lit_pumpkin,0,minecraft:jack_o_lantern
minecraft:netherrack,0,minecraft:netherrack
minecraft:soul_sand,0,minecraft:soul_sand
minecraft:soul_soil,0,minecraft:soul_soil
minecraft:basalt,0,minecraft:basalt
minecraft:polished_basalt,0,minecraft:polished_basalt
minecraft:smooth_basalt,0,minecraft:smooth_basalt
minecraft:soul_torch,0,minecraft:soul_torch
minecraft:glowstone,0,minecraft:glowstone
minecraft:monster_egg,0,minecraft:infested_stone
minecraft:monster_egg,1,minecraft:infested_cobblestone
minecraft:monster_egg,2,minecraft:infested_stone_bricks
minecraft:monster_egg,3,minecraft:infested_mossy_stone_bricks
minecraft:monster_egg,4,minecraft:infested_cracked_stone_bricks
minecraft:monster_egg,5,minecraft:infested_chiseled_stone_bricks
minecraft:infested_deepslate,0,minecraft:infested_deepslate
minecraft:stonebrick,0,minecraft:stone_bricks
minecraft:stonebrick,1,minecraft:mossy_stone_bricks
minecraft:stonebrick,2,minecraft:cracked_stone_bricks
minecraft:stonebrick,3,minecraft:chiseled_stone_bricks
minecraft:packed_mud,0,minecraft:packed_mud
minecraft:mud_bricks,0,minecraft:mud_bricks
minecraft:deepslate_bricks,0,minecraft:deepslate_bricks
minecraft:cracked_deepslate_bricks,0,minecraft:cracked_deepslate_bricks
minecraft:deepslate_tiles,0,minecraft:deepslate_tiles
minecraft:cracked_deepslate_tiles,0,minecraft:cracked_deepslate_tiles
minecraft:chiseled_deepslate,0,minecraft:chiseled_deepslate
minecraft:reinforced_deepslate,0,minecraft:reinforced_deepslate
minecraft:brown_mushroom_block,14,minecraft:brown_mushroom_block
minecraft:red_mushroom_block,14,minecraft:red_mushroom_block
minecraft:brown_mushroom_block,15,minecraft:mushroom_stem
minecraft:iron_bars,0,minecraft:iron_bars
minecraft:chain,0,minecraft:chain
minecraft:glass_pane,0,minecraft:glass_pane
minecraft:melon_block,0,minecraft:melon
minecraft:vine,0,minecraft:vine
minecraft:glow_lichen,0,minecraft:glow_lichen
minecraft:brick_stairs,0,minecraft:brick_stairs
minecraft:stone_brick_stairs,0,minecraft:stone_brick_stairs
minecraft:mud_brick_stairs,0,minecraft:mud_brick_stairs
minecraft:mycelium,0,minecraft:mycelium
minecraft:waterlily,0,minecraft:lily_pad
minecraft:nether_brick,0,minecraft:nether_bricks
minecraft:cracked_nether_bricks,0,minecraft:cracked_nether_bricks
minecraft:chiseled_nether_bricks,0,minecraft:chiseled_nether_bricks
minecraft:nether_brick_fence,0,minecraft:nether_brick_fence
minecraft:nether_brick_stairs,0,minecraft:nether_brick_stairs
minecraft:sculk,0,minecraft:sculk
minecraft:sculk_vein,0,minecraft:sculk_vein
minecraft:sculk_catalyst,0,minecraft:sculk_catalyst
minecraft:sculk_shrieker,0,minecraft:sculk_shrieker
minecraft:enchanting_table,0,minecraft:enchanting_table
minecraft:end_portal_frame,0,minecraft:end_portal_frame
minecraft:end_stone,0,minecraft:end_stone
minecraft:end_bricks,0,minecraft:end_stone_bricks
minecraft:dragon_egg,0,minecraft:dragon_egg
minecraft:sandstone_stairs,0,minecraft:sandstone_stairs
minecraft:ender_chest,0,minecraft:ender_chest
minecraft:emerald_block,0,minecraft:emerald_block
minecraft:oak_stairs,0,minecraft:oak_stairs
minecraft:spruce_stairs,0,minecraft:spruce_stairs
minecraft:birch_stairs,0,minecraft:birch_stairs
minecraft:jungle_stairs,0,minecraft:jungle_stairs
minecraft:acacia_stairs,0,minecraft:acacia_stairs
minecraft:dark_oak_stairs,0,minecraft:dark_oak_stairs
minecraft:mangrove_stairs,0,minecraft:mangrove_stairs
minecraft:oak_stairs,0,minecraft:bamboo_stairs
minecraft:oak_stairs,0,minecraft:bamboo_mosaic_stairs
minecraft:crimson_stairs,0,minecraft:crimson_stairs
minecraft:warped_stairs,0,minecraft:warped_stairs
minecraft:command_block,0,minecraft:command_block
minecraft:beacon,0,minecraft:beacon
minecraft:cobblestone_wall,0,minecraft:cobblestone_wall
minecraft:cobblestone_wall,1,minecraft:mossy_cobblestone_wall
minecraft:cobblestone_wall,6,minecraft:brick_wall
minecraft:cobblestone_wall,11,minecraft:prismarine_wall
minecraft:cobblestone_wall,12,minecraft:red_sandstone_wall
minecraft:cobblestone_wall,8,minecraft:mossy_stone_brick_wall
minecraft:cobblestone_wall,2,minecraft:granite_wall
minecraft:cobblestone_wall,7,minecraft:stone_brick_wall
minecraft:mud_brick_wall,0,minecraft:mud_brick_wall
minecraft:cobblestone_wall,9,minecraft:nether_brick_wall
minecraft:cobblestone_wall,4,minecraft:andesite_wall
minecraft:cobblestone_wall,13,minecraft:red_nether_brick_wall
minecraft:cobblestone_wall,5,minecraft:sandstone_wall
minecraft:cobblestone_wall,10,minecraft:end_stone_brick_wall
minecraft:cobblestone_wall,3,minecraft:diorite_wall
minecraft:blackstone_wall,0,minecraft:blackstone_wall
minecraft:polished_blackstone_wall,0,minecraft:polished_blackstone_wall
minecraft:polished_blackstone_brick_wall,0,minecraft:polished_blackstone_brick_wall
minecraft:cobbled_deepslate_wall,0,minecraft:cobbled_deepslate_wall
minecraft:polished_deepslate_wall,0,minecraft:polished_deepslate_wall
minecraft:deepslate_brick_wall,0,minecraft:deepslate_brick_wall
minecraft:deepslate_tile_wall,0,minecraft:deepslate_tile_wall
minecraft:anvil,0,minecraft:anvil
minecraft:anvil,4,minecraft:chipped_anvil
minecraft:anvil,8,minecraft:damaged_anvil
minecraft:quartz_block,1,minecraft:chiseled_quartz_block
minecraft:quartz_block,0,minecraft:quartz_block
minecraft:quartz_bricks,0,minecraft:quartz_bricks
minecraft:quartz_block,2,minecraft:quartz_pillar
minecraft:quartz_stairs,0,minecraft:quartz_stairs
minecraft:stained_hardened_clay,0,minecraft:white_terracotta
minecraft:stained_hardened_clay,1,minecraft:orange_terracotta
minecraft:stained_hardened_clay,2,minecraft:magenta_terracotta
minecraft:stained_hardened_clay,3,minecraft:light_blue_terracotta
minecraft:stained_hardened_clay,4,minecraft:yellow_terracotta
minecraft:stained_hardened_clay,5,minecraft:lime_terracotta
minecraft:stained_hardened_clay,6,minecraft:pink_terracotta
minecraft:stained_hardened_clay,7,minecraft:gray_terracotta
minecraft:stained_hardened_clay,8,minecraft:light_gray_terracotta
minecraft:stained_hardened_clay,9,minecraft:cyan_terracotta
minecraft:stained_hardened_clay,10,minecraft:purple_terracotta
minecraft:stained_hardened_clay,11,minecraft:blue_terracotta
